nama_file,kelas_asli,persentase_kecacatan,diameter_rata_rata,kadar_air,label_kualitas,apakah_ekspor,persentase_kecacatan_minmax,diameter_rata_rata_minmax,kadar_air_minmax,persentase_kecacatan_std,diameter_rata_rata_std,kadar_air_std
dark (145).png,Dark,0.0,6.7,10.7,Ekspor,1,0.0,0.7621,0.1892,-1.0313,0.3095,-1.2548
dark (146).png,Dark,0.0,6.05,10.9,Ekspor,1,0.0,0.657,0.2432,-1.0313,-0.4383,-1.0165
dark (147).png,Dark,0.0,6.02,10.5,Ekspor,1,0.0,0.6521,0.1351,-1.0313,-0.4728,-1.4931
dark (148).png,Dark,0.0,6.61,11.1,Ekspor,1,0.0,0.7476,0.2973,-1.0313,0.206,-0.7782
dark (149).png,Dark,0.0,6.9,11.1,Ekspor,1,0.0,0.7945,0.2973,-1.0313,0.5396,-0.7782
dark (15).png,Dark,0.0,7.19,11.2,Ekspor,1,0.0,0.8414,0.3243,-1.0313,0.8732,-0.659
dark (150).png,Dark,0.0,5.79,10.6,Ekspor,1,0.0,0.6149,0.1622,-1.0313,-0.7374,-1.3739
dark (151).png,Dark,0.0,6.15,10.6,Ekspor,1,0.0,0.6731,0.1622,-1.0313,-0.3233,-1.3739
dark (152).png,Dark,0.0,7.16,10.2,Ekspor,1,0.0,0.8366,0.0541,-1.0313,0.8387,-1.8506
dark (153).png,Dark,0.0,8.17,10.6,Ekspor,1,0.0,1.0,0.1622,-1.0313,2.0007,-1.3739
dark (154).png,Dark,0.0,7.69,10.3,Ekspor,1,0.0,0.9223,0.0811,-1.0313,1.4485,-1.7314
dark (155).png,Dark,0.0,7.06,10.2,Ekspor,1,0.0,0.8204,0.0541,-1.0313,0.7237,-1.8506
dark (156).png,Dark,0.0,6.85,11.0,Ekspor,1,0.0,0.7864,0.2703,-1.0313,0.4821,-0.8973
dark (157).png,Dark,0.0,5.79,10.5,Ekspor,1,0.0,0.6149,0.1351,-1.0313,-0.7374,-1.4931
dark (158).png,Dark,0.0,6.61,10.9,Ekspor,1,0.0,0.7476,0.2432,-1.0313,0.206,-1.0165
dark (159).png,Dark,0.0,5.95,11.0,Ekspor,1,0.0,0.6408,0.2703,-1.0313,-0.5534,-0.8973
dark (16).png,Dark,0.0,6.63,11.1,Ekspor,1,0.0,0.7508,0.2973,-1.0313,0.229,-0.7782
dark (160).png,Dark,0.0,7.13,10.9,Ekspor,1,0.0,0.8317,0.2432,-1.0313,0.8042,-1.0165
dark (161).png,Dark,100.0,7.25,11.0,Lokal,0,1.0,0.8511,0.2703,0.9712,0.9422,-0.8973
dark (162).png,Dark,0.0,7.8,10.2,Ekspor,1,0.0,0.9401,0.0541,-1.0313,1.575,-1.8506
dark (163).png,Dark,0.0,6.75,10.7,Ekspor,1,0.0,0.7702,0.1892,-1.0313,0.367,-1.2548
dark (164).png,Dark,0.0,6.67,10.8,Ekspor,1,0.0,0.7573,0.2162,-1.0313,0.275,-1.1356
dark (165).png,Dark,0.0,6.91,10.2,Ekspor,1,0.0,0.7961,0.0541,-1.0313,0.5511,-1.8506
dark (166).png,Dark,0.0,6.56,10.9,Ekspor,1,0.0,0.7395,0.2432,-1.0313,0.1484,-1.0165
dark (167).png,Dark,0.0,6.43,11.0,Ekspor,1,0.0,0.7184,0.2703,-1.0313,-0.0011,-0.8973
dark (168).png,Dark,0.0,6.63,10.9,Ekspor,1,0.0,0.7508,0.2432,-1.0313,0.229,-1.0165
dark (169).png,Dark,0.0,5.93,10.8,Ekspor,1,0.0,0.6375,0.2162,-1.0313,-0.5764,-1.1356
dark (17).png,Dark,0.0,7.39,11.3,Ekspor,1,0.0,0.8738,0.3514,-1.0313,1.1033,-0.5399
dark (170).png,Dark,100.0,6.32,11.1,Lokal,0,1.0,0.7006,0.2973,0.9712,-0.1277,-0.7782
dark (171).png,Dark,0.0,7.2,11.1,Ekspor,1,0.0,0.843,0.2973,-1.0313,0.8847,-0.7782
dark (172).png,Dark,0.0,7.29,10.0,Ekspor,1,0.0,0.8576,0.0,-1.0313,0.9883,-2.0889
dark (173).png,Dark,0.0,7.05,11.1,Ekspor,1,0.0,0.8188,0.2973,-1.0313,0.7122,-0.7782
dark (174).png,Dark,100.0,7.28,10.9,Lokal,0,1.0,0.856,0.2432,0.9712,0.9768,-1.0165
dark (175).png,Dark,0.0,7.19,10.9,Ekspor,1,0.0,0.8414,0.2432,-1.0313,0.8732,-1.0165
dark (176).png,Dark,0.0,6.99,10.9,Ekspor,1,0.0,0.8091,0.2432,-1.0313,0.6431,-1.0165
dark (177).png,Dark,0.0,6.43,10.9,Ekspor,1,0.0,0.7184,0.2432,-1.0313,-0.0011,-1.0165
dark (178).png,Dark,0.0,6.06,10.7,Ekspor,1,0.0,0.6586,0.1892,-1.0313,-0.4268,-1.2548
dark (179).png,Dark,0.0,6.44,11.1,Ekspor,1,0.0,0.7201,0.2973,-1.0313,0.0104,-0.7782
dark (18).png,Dark,0.0,6.65,10.9,Ekspor,1,0.0,0.754,0.2432,-1.0313,0.252,-1.0165
dark (180).png,Dark,0.0,6.74,11.1,Ekspor,1,0.0,0.7686,0.2973,-1.0313,0.3555,-0.7782
dark (181).png,Dark,100.0,6.87,10.9,Lokal,0,1.0,0.7896,0.2432,0.9712,0.5051,-1.0165
dark (182).png,Dark,100.0,7.08,10.8,Lokal,0,1.0,0.8236,0.2162,0.9712,0.7467,-1.1356
dark (183).png,Dark,100.0,7.17,11.2,Lokal,0,1.0,0.8382,0.3243,0.9712,0.8502,-0.659
dark (184).png,Dark,100.0,4.37,11.5,Lokal,0,1.0,0.3851,0.4054,0.9712,-2.3711,-0.3016
dark (185).png,Dark,0.0,6.48,10.3,Ekspor,1,0.0,0.7265,0.0811,-1.0313,0.0564,-1.7314
dark (186).png,Dark,0.0,7.02,10.9,Ekspor,1,0.0,0.8139,0.2432,-1.0313,0.6776,-1.0165
dark (187).png,Dark,0.0,6.36,10.6,Ekspor,1,0.0,0.7071,0.1622,-1.0313,-0.0817,-1.3739
dark (188).png,Dark,0.0,6.05,10.9,Ekspor,1,0.0,0.657,0.2432,-1.0313,-0.4383,-1.0165
dark (189).png,Dark,0.0,5.34,10.8,Ekspor,1,0.0,0.5421,0.2162,-1.0313,-1.2551,-1.1356
dark (19).png,Dark,0.0,6.91,11.0,Ekspor,1,0.0,0.7961,0.2703,-1.0313,0.5511,-0.8973
dark (190).png,Dark,0.0,6.36,11.1,Ekspor,1,0.0,0.7071,0.2973,-1.0313,-0.0817,-0.7782
dark (191).png,Dark,0.0,6.18,10.7,Ekspor,1,0.0,0.678,0.1892,-1.0313,-0.2887,-1.2548
dark (192).png,Dark,100.0,6.63,10.6,Lokal,0,1.0,0.7508,0.1622,0.9712,0.229,-1.3739
dark (193).png,Dark,0.0,7.48,11.3,Ekspor,1,0.0,0.8883,0.3514,-1.0313,1.2069,-0.5399
dark (194).png,Dark,0.0,7.6,10.9,Ekspor,1,0.0,0.9078,0.2432,-1.0313,1.3449,-1.0165
dark (195).png,Dark,0.0,6.49,10.5,Ekspor,1,0.0,0.7282,0.1351,-1.0313,0.0679,-1.4931
dark (196).png,Dark,0.0,6.01,11.0,Ekspor,1,0.0,0.6505,0.2703,-1.0313,-0.4843,-0.8973
dark (197).png,Dark,0.0,6.06,11.0,Ekspor,1,0.0,0.6586,0.2703,-1.0313,-0.4268,-0.8973
dark (198).png,Dark,0.0,6.25,10.9,Ekspor,1,0.0,0.6893,0.2432,-1.0313,-0.2082,-1.0165
dark (199).png,Dark,0.0,5.43,10.9,Ekspor,1,0.0,0.5566,0.2432,-1.0313,-1.1516,-1.0165
dark (2).png,Dark,0.0,7.61,10.2,Ekspor,1,0.0,0.9094,0.0541,-1.0313,1.3564,-1.8506
dark (20).png,Dark,0.0,7.24,11.3,Ekspor,1,0.0,0.8495,0.3514,-1.0313,0.9307,-0.5399
dark (200).png,Dark,0.0,6.67,11.0,Ekspor,1,0.0,0.7573,0.2703,-1.0313,0.275,-0.8973
dark (201).png,Dark,0.0,6.77,11.0,Ekspor,1,0.0,0.7735,0.2703,-1.0313,0.39,-0.8973
dark (202).png,Dark,0.0,7.23,11.0,Ekspor,1,0.0,0.8479,0.2703,-1.0313,0.9192,-0.8973
dark (203).png,Dark,100.0,7.69,11.2,Lokal,0,1.0,0.9223,0.3243,0.9712,1.4485,-0.659
dark (204).png,Dark,100.0,7.07,10.9,Lokal,0,1.0,0.822,0.2432,0.9712,0.7352,-1.0165
dark (205).png,Dark,0.0,6.97,10.5,Ekspor,1,0.0,0.8058,0.1351,-1.0313,0.6201,-1.4931
dark (206).png,Dark,0.0,6.95,11.0,Ekspor,1,0.0,0.8026,0.2703,-1.0313,0.5971,-0.8973
dark (207).png,Dark,0.0,6.89,11.2,Ekspor,1,0.0,0.7929,0.3243,-1.0313,0.5281,-0.659
dark (208).png,Dark,0.0,6.61,11.3,Ekspor,1,0.0,0.7476,0.3514,-1.0313,0.206,-0.5399
dark (209).png,Dark,0.0,5.56,10.7,Ekspor,1,0.0,0.5777,0.1892,-1.0313,-1.002,-1.2548
dark (21).png,Dark,0.0,7.38,11.2,Ekspor,1,0.0,0.8722,0.3243,-1.0313,1.0918,-0.659
dark (210).png,Dark,100.0,5.91,10.8,Lokal,0,1.0,0.6343,0.2162,0.9712,-0.5994,-1.1356
dark (211).png,Dark,0.0,6.65,10.9,Ekspor,1,0.0,0.754,0.2432,-1.0313,0.252,-1.0165
dark (212).png,Dark,0.0,7.43,10.1,Ekspor,1,0.0,0.8803,0.027,-1.0313,1.1493,-1.9697
dark (213).png,Dark,100.0,7.21,11.1,Lokal,0,1.0,0.8447,0.2973,0.9712,0.8962,-0.7782
dark (214).png,Dark,100.0,7.34,11.2,Lokal,0,1.0,0.8657,0.3243,0.9712,1.0458,-0.659
dark (215).png,Dark,100.0,6.67,10.3,Lokal,0,1.0,0.7573,0.0811,0.9712,0.275,-1.7314
dark (216).png,Dark,0.0,5.76,10.4,Ekspor,1,0.0,0.61,0.1081,-1.0313,-0.7719,-1.6123
dark (217).png,Dark,0.0,5.71,10.7,Ekspor,1,0.0,0.6019,0.1892,-1.0313,-0.8295,-1.2548
dark (218).png,Dark,0.0,5.49,10.7,Ekspor,1,0.0,0.5663,0.1892,-1.0313,-1.0826,-1.2548
dark (219).png,Dark,0.0,6.08,10.8,Ekspor,1,0.0,0.6618,0.2162,-1.0313,-0.4038,-1.1356
dark (22).png,Dark,0.0,7.44,10.8,Ekspor,1,0.0,0.8819,0.2162,-1.0313,1.1608,-1.1356
dark (220).png,Dark,0.0,5.74,10.8,Ekspor,1,0.0,0.6068,0.2162,-1.0313,-0.795,-1.1356
dark (221).png,Dark,0.0,5.7,10.9,Ekspor,1,0.0,0.6003,0.2432,-1.0313,-0.841,-1.0165
dark (222).png,Dark,0.0,6.54,10.7,Ekspor,1,0.0,0.7362,0.1892,-1.0313,0.1254,-1.2548
dark (223).png,Dark,0.0,6.38,11.0,Ekspor,1,0.0,0.7104,0.2703,-1.0313,-0.0587,-0.8973
dark (224).png,Dark,0.0,6.9,10.9,Ekspor,1,0.0,0.7945,0.2432,-1.0313,0.5396,-1.0165
dark (225).png,Dark,0.0,5.83,10.5,Ekspor,1,0.0,0.6214,0.1351,-1.0313,-0.6914,-1.4931
dark (226).png,Dark,0.0,5.95,10.5,Ekspor,1,0.0,0.6408,0.1351,-1.0313,-0.5534,-1.4931
dark (227).png,Dark,0.0,6.13,10.7,Ekspor,1,0.0,0.6699,0.1892,-1.0313,-0.3463,-1.2548
dark (228).png,Dark,0.0,5.91,10.4,Ekspor,1,0.0,0.6343,0.1081,-1.0313,-0.5994,-1.6123
dark (229).png,Dark,100.0,6.8,11.1,Lokal,0,1.0,0.7783,0.2973,0.9712,0.4245,-0.7782
dark (23).png,Dark,0.0,7.03,11.1,Ekspor,1,0.0,0.8155,0.2973,-1.0313,0.6891,-0.7782
dark (230).png,Dark,0.0,6.98,10.9,Ekspor,1,0.0,0.8074,0.2432,-1.0313,0.6316,-1.0165
dark (231).png,Dark,100.0,7.51,11.4,Lokal,0,1.0,0.8932,0.3784,0.9712,1.2414,-0.4207
dark (232).png,Dark,0.0,6.6,11.0,Ekspor,1,0.0,0.746,0.2703,-1.0313,0.1944,-0.8973
dark (233).png,Dark,0.0,6.53,10.5,Ekspor,1,0.0,0.7346,0.1351,-1.0313,0.1139,-1.4931
dark (234).png,Dark,0.0,6.28,10.8,Ekspor,1,0.0,0.6942,0.2162,-1.0313,-0.1737,-1.1356
dark (235).png,Dark,100.0,6.27,11.1,Lokal,0,1.0,0.6926,0.2973,0.9712,-0.1852,-0.7782
dark (236).png,Dark,0.0,5.55,10.4,Ekspor,1,0.0,0.5761,0.1081,-1.0313,-1.0135,-1.6123
dark (237).png,Dark,0.0,6.43,10.7,Ekspor,1,0.0,0.7184,0.1892,-1.0313,-0.0011,-1.2548
dark (238).png,Dark,0.0,6.65,10.9,Ekspor,1,0.0,0.754,0.2432,-1.0313,0.252,-1.0165
dark (239).png,Dark,0.0,6.73,10.8,Ekspor,1,0.0,0.767,0.2162,-1.0313,0.344,-1.1356
dark (24).png,Dark,100.0,6.52,10.8,Lokal,0,1.0,0.733,0.2162,0.9712,0.1024,-1.1356
dark (240).png,Dark,0.0,6.7,10.5,Ekspor,1,0.0,0.7621,0.1351,-1.0313,0.3095,-1.4931
dark (241).png,Dark,100.0,6.43,10.6,Lokal,0,1.0,0.7184,0.1622,0.9712,-0.0011,-1.3739
dark (242).png,Dark,100.0,6.2,10.7,Lokal,0,1.0,0.6812,0.1892,0.9712,-0.2657,-1.2548
dark (243).png,Dark,100.0,6.38,10.8,Lokal,0,1.0,0.7104,0.2162,0.9712,-0.0587,-1.1356
dark (244).png,Dark,100.0,5.74,10.7,Lokal,0,1.0,0.6068,0.1892,0.9712,-0.795,-1.2548
dark (245).png,Dark,0.0,5.86,10.8,Ekspor,1,0.0,0.6262,0.2162,-1.0313,-0.6569,-1.1356
dark (246).png,Dark,0.0,5.88,11.0,Ekspor,1,0.0,0.6294,0.2703,-1.0313,-0.6339,-0.8973
dark (247).png,Dark,0.0,5.83,10.7,Ekspor,1,0.0,0.6214,0.1892,-1.0313,-0.6914,-1.2548
dark (248).png,Dark,100.0,6.19,10.9,Lokal,0,1.0,0.6796,0.2432,0.9712,-0.2772,-1.0165
dark (249).png,Dark,0.0,6.2,10.9,Ekspor,1,0.0,0.6812,0.2432,-1.0313,-0.2657,-1.0165
dark (25).png,Dark,100.0,7.08,11.2,Lokal,0,1.0,0.8236,0.3243,0.9712,0.7467,-0.659
dark (250).png,Dark,0.0,6.8,10.3,Ekspor,1,0.0,0.7783,0.0811,-1.0313,0.4245,-1.7314
dark (251).png,Dark,100.0,7.16,10.2,Lokal,0,1.0,0.8366,0.0541,0.9712,0.8387,-1.8506
dark (252).png,Dark,0.0,6.9,10.2,Ekspor,1,0.0,0.7945,0.0541,-1.0313,0.5396,-1.8506
dark (253).png,Dark,0.0,6.07,10.1,Ekspor,1,0.0,0.6602,0.027,-1.0313,-0.4153,-1.9697
dark (254).png,Dark,0.0,7.04,11.0,Ekspor,1,0.0,0.8172,0.2703,-1.0313,0.7007,-0.8973
dark (255).png,Dark,0.0,5.96,11.1,Ekspor,1,0.0,0.6424,0.2973,-1.0313,-0.5418,-0.7782
dark (256).png,Dark,0.0,6.07,11.0,Ekspor,1,0.0,0.6602,0.2703,-1.0313,-0.4153,-0.8973
dark (257).png,Dark,0.0,6.23,11.0,Ekspor,1,0.0,0.6861,0.2703,-1.0313,-0.2312,-0.8973
dark (258).png,Dark,0.0,6.04,10.7,Ekspor,1,0.0,0.6553,0.1892,-1.0313,-0.4498,-1.2548
dark (259).png,Dark,0.0,6.68,10.7,Ekspor,1,0.0,0.7589,0.1892,-1.0313,0.2865,-1.2548
dark (26).png,Dark,0.0,6.34,12.3,Ekspor,1,0.0,0.7039,0.6216,-1.0313,-0.1047,0.6517
dark (260).png,Dark,0.0,6.73,10.0,Ekspor,1,0.0,0.767,0.0,-1.0313,0.344,-2.0889
dark (261).png,Dark,100.0,6.18,10.7,Lokal,0,1.0,0.678,0.1892,0.9712,-0.2887,-1.2548
dark (262).png,Dark,0.0,6.01,10.5,Ekspor,1,0.0,0.6505,0.1351,-1.0313,-0.4843,-1.4931
dark (263).png,Dark,0.0,6.18,10.6,Ekspor,1,0.0,0.678,0.1622,-1.0313,-0.2887,-1.3739
dark (264).png,Dark,0.0,6.38,10.8,Ekspor,1,0.0,0.7104,0.2162,-1.0313,-0.0587,-1.1356
dark (265).png,Dark,100.0,5.92,10.5,Lokal,0,1.0,0.6359,0.1351,0.9712,-0.5879,-1.4931
dark (266).png,Dark,0.0,5.09,10.6,Ekspor,1,0.0,0.5016,0.1622,-1.0313,-1.5428,-1.3739
dark (267).png,Dark,0.0,5.71,10.6,Ekspor,1,0.0,0.6019,0.1622,-1.0313,-0.8295,-1.3739
dark (268).png,Dark,0.0,6.05,11.0,Ekspor,1,0.0,0.657,0.2703,-1.0313,-0.4383,-0.8973
dark (269).png,Dark,0.0,6.43,10.9,Ekspor,1,0.0,0.7184,0.2432,-1.0313,-0.0011,-1.0165
dark (27).png,Dark,0.0,6.47,10.7,Ekspor,1,0.0,0.7249,0.1892,-1.0313,0.0449,-1.2548
dark (270).png,Dark,0.0,6.56,10.7,Ekspor,1,0.0,0.7395,0.1892,-1.0313,0.1484,-1.2548
dark (271).png,Dark,100.0,6.51,10.7,Lokal,0,1.0,0.7314,0.1892,0.9712,0.0909,-1.2548
dark (272).png,Dark,100.0,6.32,10.7,Lokal,0,1.0,0.7006,0.1892,0.9712,-0.1277,-1.2548
dark (273).png,Dark,0.0,5.77,10.5,Ekspor,1,0.0,0.6117,0.1351,-1.0313,-0.7604,-1.4931
dark (274).png,Dark,0.0,6.01,10.9,Ekspor,1,0.0,0.6505,0.2432,-1.0313,-0.4843,-1.0165
dark (275).png,Dark,0.0,5.77,10.8,Ekspor,1,0.0,0.6117,0.2162,-1.0313,-0.7604,-1.1356
dark (276).png,Dark,0.0,5.87,10.9,Ekspor,1,0.0,0.6278,0.2432,-1.0313,-0.6454,-1.0165
dark (277).png,Dark,0.0,5.84,10.8,Ekspor,1,0.0,0.623,0.2162,-1.0313,-0.6799,-1.1356
dark (278).png,Dark,0.0,6.37,10.9,Ekspor,1,0.0,0.7087,0.2432,-1.0313,-0.0702,-1.0165
dark (279).png,Dark,0.0,6.97,11.0,Ekspor,1,0.0,0.8058,0.2703,-1.0313,0.6201,-0.8973
dark (28).png,Dark,0.0,7.02,11.4,Ekspor,1,0.0,0.8139,0.3784,-1.0313,0.6776,-0.4207
dark (280).png,Dark,0.0,7.32,10.4,Ekspor,1,0.0,0.8625,0.1081,-1.0313,1.0228,-1.6123
dark (281).png,Dark,0.0,6.86,11.2,Ekspor,1,0.0,0.788,0.3243,-1.0313,0.4936,-0.659
dark (282).png,Dark,0.0,7.4,11.1,Ekspor,1,0.0,0.8754,0.2973,-1.0313,1.1148,-0.7782
dark (283).png,Dark,0.0,6.52,10.7,Ekspor,1,0.0,0.733,0.1892,-1.0313,0.1024,-1.2548
dark (284).png,Dark,0.0,5.83,10.6,Ekspor,1,0.0,0.6214,0.1622,-1.0313,-0.6914,-1.3739
dark (285).png,Dark,0.0,6.48,10.8,Ekspor,1,0.0,0.7265,0.2162,-1.0313,0.0564,-1.1356
dark (286).png,Dark,0.0,5.86,10.8,Ekspor,1,0.0,0.6262,0.2162,-1.0313,-0.6569,-1.1356
dark (287).png,Dark,0.0,5.47,10.6,Ekspor,1,0.0,0.5631,0.1622,-1.0313,-1.1056,-1.3739
dark (288).png,Dark,0.0,6.04,10.9,Ekspor,1,0.0,0.6553,0.2432,-1.0313,-0.4498,-1.0165
dark (289).png,Dark,0.0,6.42,10.8,Ekspor,1,0.0,0.7168,0.2162,-1.0313,-0.0126,-1.1356
dark (29).png,Dark,100.0,6.89,11.3,Lokal,0,1.0,0.7929,0.3514,0.9712,0.5281,-0.5399
dark (290).png,Dark,100.0,7.48,11.2,Lokal,0,1.0,0.8883,0.3243,0.9712,1.2069,-0.659
dark (291).png,Dark,0.0,7.43,10.2,Ekspor,1,0.0,0.8803,0.0541,-1.0313,1.1493,-1.8506
dark (292).png,Dark,0.0,7.17,10.3,Ekspor,1,0.0,0.8382,0.0811,-1.0313,0.8502,-1.7314
dark (293).png,Dark,0.0,6.95,10.8,Ekspor,1,0.0,0.8026,0.2162,-1.0313,0.5971,-1.1356
dark (294).png,Dark,0.0,6.1,10.8,Ekspor,1,0.0,0.665,0.2162,-1.0313,-0.3808,-1.1356
dark (295).png,Dark,0.0,6.7,11.1,Ekspor,1,0.0,0.7621,0.2973,-1.0313,0.3095,-0.7782
dark (296).png,Dark,0.0,6.5,11.2,Ekspor,1,0.0,0.7298,0.3243,-1.0313,0.0794,-0.659
dark (297).png,Dark,0.0,5.62,10.9,Ekspor,1,0.0,0.5874,0.2432,-1.0313,-0.933,-1.0165
dark (298).png,Dark,0.0,6.61,11.4,Ekspor,1,0.0,0.7476,0.3784,-1.0313,0.206,-0.4207
dark (299).png,Dark,0.0,6.98,11.1,Ekspor,1,0.0,0.8074,0.2973,-1.0313,0.6316,-0.7782
dark (3).png,Dark,0.0,6.48,10.8,Ekspor,1,0.0,0.7265,0.2162,-1.0313,0.0564,-1.1356
